postcode,buildings,estimated_solar_capacity,mean_estimated_solar,mean_roof_space,total_affordable_units,extremely_lowincome_units,very_lowincome_units,lowincome_units
10452,6,238.79,39.79833333333333,8489.138333333332,4770,1201,1273,2031
10454,15,496.44,33.096,7548.452,2738,1487,300,802
10455,10,366.82,36.682,7298.568,2946,474,652,1461
10456,15,666.37,44.42466666666667,7941.224666666667,3972,1451,1185,1163
10457,2,201.74,100.87,16688.675,4643,829,794,2615
10461,1,34.81,34.81,11163.59,235,75,81,52
10463,1,147.35,147.35,25893.22,480,0,270,78
10467,14,485.08,34.64857142857143,6820.550714285714,2066,409,611,820
