postcode,buildings,estimated_solar_capacity,mean_estimated_solar,mean_roof_space
11354,4,229.07,57.2675,10571.8675
11432,1,39.55,39.55,10014.34
11433,1,41.17,41.17,11007.16
11434,6,258.78,43.13,8904.798333333334
