postcode,buildings,estimated_solar_capacity,mean_estimated_solar,mean_roof_space,total_affordable_units,extremely_lowincome_units,very_lowincome_units,lowincome_units
11354,4,229.07,57.2675,10571.8675,31,0,0,0
11432,1,39.55,39.55,10014.34,991,203,37,627
11433,1,41.17,41.17,11007.16,758,123,61,341
11434,6,258.78,43.13,8904.798333333334,6390,253,5393,737
