postcode,roofs,green_area,total_affordable_units,extremely_lowincome_units,very_lowincome_units,lowincome_units,units_mutated
10301,3,5876.18436,1039,1,151,750,10.39
10304,1,2035.98931,1072,296,113,646,10.72
