postcode,assets,total_affordable_units,extremely_lowincome_units,very_lowincome_units,lowincome_units,units_mutated
10301,1,1039,1,151,750,10.39
10302,3,85,67,0,16,0.85
10303,1,538,429,0,109,5.38
10305,8,28,0,0,28,0.28
10310,1,1,0,0,1,0.01
10314,3,161,160,0,0,1.61
