postcode,buildings,estimated_solar_capacity,mean_estimated_solar,mean_roof_space
11205,4,154.46,38.615,9042.95
11207,5,550.71,110.142,17615.21
11212,18,720,40,8720.72
11217,3,85.34,28.446666666666665,10025.783333333333
11221,1,109.54,109.54,16081.25
11233,22,771.66,35.07545454545455,7004.845454545454
11234,17,666.38,39.19882352941176,8650.751176470589
11236,3,113.41,37.803333333333335,8243.906666666668
11238,3,132.25,44.083333333333336,7684.2
11249,5,340.24,68.048,10790.65
