borough,toof_units,mean_green_area,total_green_area
BK,135,4003.5042196296295,540473.06965
BX,82,3344.2035885365854,274224.69426
MN,465,3362.631303956989,1563623.55634
QN,50,5043.4394638,252171.97319
SI,4,4916.1355975,19664.54239
