postcode,buildings,estimated_solar_capacity,mean_estimated_solar,mean_roof_space,total_affordable_units,extremely_lowincome_units,very_lowincome_units,lowincome_units
10301,7,233.26999999999998,33.324285714285715,8739.251428571428,1039,1,151,750
10303,22,331.75,15.079545454545455,5423.704545454545,538,429,0,109
10305,1,184.53,184.53,28664.41,28,0,0,28
10314,7,324.13,46.30428571428571,10379.425714285715,161,160,0,0
