postcode,buildings,estimated_solar_capacity,mean_estimated_solar,mean_roof_space
10452,6,238.79,39.79833333333333,8489.138333333332
10454,15,496.44,33.096,7548.452
10455,10,366.82,36.682,7298.568
10456,15,666.37,44.42466666666667,7941.224666666667
10457,2,201.74,100.87,16688.675
10461,1,34.81,34.81,11163.59
10463,1,147.35,147.35,25893.22
10467,14,485.08,34.64857142857143,6820.550714285714
